จังหวัด,คำขวัญประจำจังหวัด,ต้นไม้ประจำจังหวัด,จำนวนคำของคำขวัญประจำจังหวัด,จำนวนคำของต้นไม้ประจำจังหวัด
กระบี่,เมืองน่าอยู่ ผู้คนน่ารัก,ทุ้งฟ้า,4,2
กรุงเทพมหานคร,กรุงเทพฯ ดุจเทพสร้าง เมืองศูนย์กลางการปกครอง วัด วัง งามเรืองรอง เมืองหลวงของประเทศไทย,ไทรใบแหลม,15,3
กาญจนบุรี,แคว้นโบราณ ด่านเจดีย์ มณีเมืองกาญจน์ สะพานข้ามแม่น้ำแคว แหล่งแร่น้ำตก,ขานาง,15,1
กาฬสินธุ์,ฟ้าแดดสงยาง โปงลางเลิศล้ำ วัฒนธรรมผู้ไทย ผ้าไหมแพรวา ผาเสวยภูพาน มหาธารลำปาว ไดโนเสาร์สัตว์โลกล้านปี,แสมสาร,24,1
กำแพงเพชร,กรุพระเครื่อง เมืองคนแกร่ง ศิลาแลงใหญ่ กล้วยไข่หวาน น้ำมันลานกระบือ,สีเสียดแก่น,14,1
ขอนแก่น,พระธาตุขามแก่น เสียงแคนดอกคูณ ศูนย์รวมผ้าไหม ร่วมใจผูกเสี่ยว เที่ยวขอนแก่นนครใหญ่ ไดโนเสาร์ลือก้องเหรียญทองมวยโอลิมปิก,กัลปพฤกษ์,26,1
จันทบุรี,น้ำตกลือเลื่อง เมืองผลไม้ พริกไทยพันธุ์ดี อัญมณีมากเหลือ เสื่อจันทบูร สมบูรณ์ธรรมชาติ สมเด็จพระเจ้าตากสิน,สำรอง,19,1
ฉะเชิงเทรา,เมืองธรรมะ พระศักดิ์สิทธิ์ ชิดเมืองหลวง มะม่วงหวาน ข้าวสารขาว มะพร้าวหอม,นนทรีป่า,15,2
ชลบุรี,ทะเลงาม ข้าวหลามอร่อย อ้อยหวาน จักสานดี ประเพณีวิ่งควาย,ประดู่ใหญ่,12,2
ชัยนาท,หลวงปู่ศุขลือชา เขื่อนเจ้าพระยาลือชื่อ นามระบือสวนนก ส้มโอดก,มะตูม,13,1
ชัยภูมิ,ชัยภูมิ เมืองผู้กล้า พญาแล,ขี้เหล็กบ้าน,6,2
ชุมพร,ประตูสู่ภาคใต้ ไหว้เสด็จในกรม ชมไร่กาแฟ แลหาดทรายรี ดีกล้วย เล็บมือ ขึ้นชื่อรังนก,มะเดื่ออุทุมพร,19,2
ตรัง,เมืองพระยารัษฎา ชาวประชาใจกว้าง หมูย่างเลิศรส ถิ่นกำเนิดยางพารา เด่นสง่าดอกสีตรัง ปะการังใต้ทะเล เสน่ห์หาดทรายงาม น้ำตกสวยตระการตา,ศรีตรัง,31,1
